neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,never_reviewed,dist_from_center,has_reviews,availability_ratio,is_multi_listing_host,log_minimum_nights,log_number_of_reviews,log_reviews_per_month,log_calculated_host_listings_count,log_price
Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,5,53,0.43,1,6,0,0.049410809546085295,1,0.01643835616438356,0,1.791759469228055,3.9889840465642745,0.3576744442718159,0.6931471805599453,4.912654885736052
Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,85,2,188,1.5,1,39,0,0.0042031535779643815,1,0.10684931506849316,0,1.0986122886681098,5.241747015059643,0.9162907318741551,0.6931471805599453,4.454347296253507
Brooklyn,South Slope,40.66829,-73.98779,Private room,89,4,167,1.34,3,314,0,0.0897392233084323,1,0.8602739726027397,1,1.6094379124341003,5.123963979403259,0.8501509293696101,1.3862943611198906,4.499809670330265
Manhattan,Upper West Side,40.79826,-73.96113,Private room,85,2,113,0.91,1,333,0,0.04706128451285556,1,0.9123287671232877,0,1.0986122886681098,4.736198448394496,0.6471032420585385,0.6931471805599453,4.454347296253507
Manhattan,West Village,40.7353,-74.00525,Entire home/apt,120,45,27,0.22,1,0,0,0.03008907609083559,1,0.0,0,3.828641396489095,3.332204510175204,0.1988508587451652,0.6931471805599453,4.795790545596741
Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,1.2,1,46,0,0.05904114920968534,1,0.12602739726027398,0,1.0986122886681098,5.003946305945459,0.7884573603642702,0.6931471805599453,4.948759890378168
Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,215,2,198,1.72,1,321,0,0.06770035893553404,1,0.8794520547945206,0,1.0986122886681098,5.293304824724492,1.000631880307906,0.6931471805599453,5.375278407684165
Manhattan,Chelsea,40.74192,-73.99501,Private room,140,1,260,2.12,1,12,0,0.018681715659968613,1,0.03287671232876712,0,0.6931471805599453,5.564520407322694,1.1378330018213911,0.6931471805599453,4.948759890378168
Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,3,53,4.44,1,21,0,0.0906862723900431,1,0.057534246575342465,0,1.3862943611198906,3.9889840465642745,1.6937790608678513,0.6931471805599453,4.605170185988092
Manhattan,East Harlem,40.79685,-73.94872,Entire home/apt,190,7,0,0.0,2,249,1,0.0534985130634513,0,0.6821917808219178,1,2.0794415416798357,0.0,0.0,1.0986122886681098,5.25227342804663
Brooklyn,Williamsburg,40.71842,-73.95718,Entire home/apt,299,3,9,0.07,1,0,0,0.04866825248558359,1,0.0,0,1.3862943611198906,2.302585092994046,0.06765864847381481,0.6931471805599453,5.703782474656201
Brooklyn,Park Slope,40.68069,-73.97706,Private room,130,2,130,1.09,6,347,0,0.07776933650225373,1,0.9506849315068493,1,1.0986122886681098,4.875197323201151,0.7371640659767197,1.9459101490553132,4.875197323201151
Brooklyn,Park Slope,40.67989,-73.97798,Private room,80,1,39,0.37,6,364,0,0.07847115712158423,1,0.9972602739726028,1,0.6931471805599453,3.6888794541139363,0.31481073984003355,1.9459101490553132,4.394449154672439
Brooklyn,Park Slope,40.68001,-73.97865,Private room,110,2,71,0.61,6,304,0,0.07829024588031364,1,0.8328767123287671,1,1.0986122886681098,4.276666119016055,0.4762341789963716,1.9459101490553132,4.709530201312334
Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,2,88,0.73,2,233,0,0.08697041163522663,1,0.6383561643835617,1,1.0986122886681098,4.48863636973214,0.5481214085096876,1.0986122886681098,4.795790545596741
Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,1,19,1.37,2,85,0,0.10252968448210532,1,0.2328767123287671,1,0.6931471805599453,2.995732273553991,0.8628899551470398,1.0986122886681098,4.110873864173311
Manhattan,Inwood,40.86754,-73.92639,Private room,80,4,0,0.0,1,0,1,0.12447089499155814,0,0.0,0,1.6094379124341003,0.0,0.0,0.6931471805599453,4.394449154672439
Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,10,58,0.49,1,75,0,0.009151579098711126,1,0.2054794520547945,0,2.3978952727983707,4.07753744390572,0.3987761199573678,0.6931471805599453,5.017279836814924
Manhattan,Inwood,40.86482,-73.92106,Private room,44,3,108,1.11,3,311,0,0.12475185770160058,1,0.852054794520548,1,1.3862943611198906,4.6913478822291435,0.7466879474879752,1.3862943611198906,3.8066624897703196
Manhattan,East Village,40.7292,-73.98542,Entire home/apt,180,14,29,0.24,1,67,0,0.0288001111109007,1,0.18356164383561643,0,2.70805020110221,3.4011973816621555,0.2151113796169455,0.6931471805599453,5.198497031265826
Manhattan,Harlem,40.82245,-73.95104,Private room,50,3,242,2.04,3,355,0,0.07308415765403475,1,0.9726027397260274,1,1.3862943611198906,5.493061443340548,1.1118575154181303,1.3862943611198906,3.9318256327243257
Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,88,1.42,1,255,0,0.0630999849445246,1,0.6986301369863014,0,1.0986122886681098,4.48863636973214,0.883767540168595,0.6931471805599453,3.970291913552122
Brooklyn,Greenpoint,40.72219,-73.93762,Private room,55,4,197,1.65,3,284,0,0.05979005352063977,1,0.7780821917808219,1,1.6094379124341003,5.288267030694535,0.9745596399981308,1.3862943611198906,4.02535169073515
Manhattan,Harlem,40.8213,-73.95318,Private room,50,3,273,2.37,3,359,0,0.07107371103298091,1,0.9835616438356164,1,1.3862943611198906,5.6131281063880705,1.2149127443642704,1.3862943611198906,3.9318256327243257
Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70,1,74,0.66,2,269,0,0.08097408783061512,1,0.736986301369863,1,0.6931471805599453,4.31748811353631,0.5068176023684519,1.0986122886681098,4.2626798770413155
Brooklyn,South Slope,40.66869,-73.9878,Private room,89,4,168,1.41,3,340,0,0.08933961103564751,1,0.9315068493150684,1,1.6094379124341003,5.1298987149230735,0.8796267475025636,1.3862943611198906,4.499809670330265
Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,Private room,35,45,0,0.0,1,365,1,0.08118030549339421,0,1.0,0,3.828641396489095,0.0,0.0,0.6931471805599453,3.58351893845611
Brooklyn,Bushwick,40.70186,-73.92745,Entire home/apt,85,2,231,1.96,2,22,0,0.08075581774708808,1,0.06027397260273973,1,1.0986122886681098,5.44673737166631,1.085189268335969,1.0986122886681098,4.454347296253507
Brooklyn,Flatbush,40.63702,-73.96327,Private room,150,1,0,0.0,1,365,1,0.12300541979929605,0,1.0,0,0.6931471805599453,0.0,0.0,0.6931471805599453,5.017279836814924
Manhattan,Lower East Side,40.71401,-73.98917,Shared room,40,1,214,1.81,4,188,0,0.044142825011547156,1,0.5150684931506849,1,0.6931471805599453,5.3706380281276624,1.0331844833456545,1.6094379124341003,3.713572066704308
Manhattan,East Village,40.7229,-73.98199,Private room,68,2,245,2.08,2,96,0,0.0352750634301348,1,0.26301369863013696,1,1.0986122886681098,5.5053315359323625,1.1249295969854831,1.0986122886681098,4.23410650459726
Brooklyn,South Slope,40.66278,-73.97966,Entire home/apt,120,3,15,0.39,1,345,0,0.09539892032932541,1,0.9452054794520548,0,1.3862943611198906,2.772588722239781,0.3293037471426004,0.6931471805599453,4.795790545596741
Brooklyn,Fort Greene,40.69673,-73.97584,Private room,120,7,25,0.23,1,311,0,0.06202683693370138,1,0.852054794520548,0,2.0794415416798357,3.258096538021482,0.20701416938432612,0.6931471805599453,4.795790545596741
Manhattan,Upper West Side,40.79009,-73.97927,Private room,135,4,81,0.69,1,273,0,0.03268915722376168,1,0.7479452054794521,0,1.6094379124341003,4.406719247264253,0.5247285289349821,0.6931471805599453,4.912654885736052
Manhattan,Harlem,40.81175,-73.94478,Entire home/apt,150,7,97,0.84,1,309,0,0.06743278801889105,1,0.8465753424657534,0,2.0794415416798357,4.584967478670572,0.6097655716208943,0.6931471805599453,5.017279836814924
Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,Entire home/apt,150,29,11,0.49,1,95,0,0.10123540882518078,1,0.2602739726027397,0,3.4011973816621555,2.4849066497880004,0.3987761199573678,0.6931471805599453,5.017279836814924
Queens,Long Island City,40.74771,-73.9474,Private room,130,3,248,2.25,1,215,0,0.03946509977182499,1,0.589041095890411,0,1.3862943611198906,5.517452896464707,1.1786549963416462,0.6931471805599453,4.875197323201151
Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110,7,61,0.52,1,265,0,0.08238713613180665,1,0.726027397260274,0,2.0794415416798357,4.127134385045092,0.41871033485818504,0.6931471805599453,4.709530201312334
Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,115,3,11,0.1,1,0,0,0.08508590717621907,1,0.0,0,1.3862943611198906,2.4849066497880004,0.09531017980432487,0.6931471805599453,4.7535901911063645
Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80,3,135,1.16,2,192,0,0.06760712980152554,1,0.5260273972602739,1,1.3862943611198906,4.912654885736052,0.7701082216960736,1.0986122886681098,4.394449154672439
Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,1,112,1.01,3,251,0,0.09026544466184315,1,0.6876712328767123,1,0.6931471805599453,4.727387818712341,0.6981347220709844,1.3862943611198906,4.394449154672439
Manhattan,Upper West Side,40.78635,-73.97008,Entire home/apt,151,2,73,0.63,1,302,0,0.03227226208371461,1,0.8273972602739726,0,1.0986122886681098,4.30406509320417,0.48858001481867097,0.6931471805599453,5.0238805208462765
Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,3,82,0.7,1,140,0,0.07337881165568896,1,0.3835616438356164,0,1.3862943611198906,4.418840607796598,0.5306282510621704,0.6931471805599453,5.43372200355424
Brooklyn,Greenpoint,40.73506,-73.95392,Entire home/apt,144,2,328,2.82,1,234,0,0.039032550518773246,1,0.6410958904109589,0,1.0986122886681098,5.796057750765372,1.3402504226184837,0.6931471805599453,4.976733742420574
Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,7,19,0.22,1,257,0,0.018996044325074065,1,0.7041095890410959,0,2.0794415416798357,2.995732273553991,0.1988508587451652,0.6931471805599453,5.303304908059076
Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,30,105,0.9,1,30,0,0.05573236133522822,1,0.0821917808219178,0,3.4339872044851463,4.663439094112067,0.6418538861723948,0.6931471805599453,5.017279836814924
Manhattan,Lower East Side,40.72004,-73.99104,Private room,110,5,19,0.17,1,301,0,0.03836213237035141,1,0.8246575342465754,0,1.791759469228055,2.995732273553991,0.15700374880966475,0.6931471805599453,4.709530201312334
Manhattan,Hell's Kitchen,40.75531,-73.99293,Private room,69,2,289,2.49,2,294,0,0.007901961781734787,1,0.8054794520547945,1,1.0986122886681098,5.66988092298052,1.2499017362143359,1.0986122886681098,4.248495242049359
Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,4,138,1.19,3,320,0,0.05850627744096959,1,0.8767123287671232,1,1.6094379124341003,4.9344739331306915,0.7839015438284094,1.3862943611198906,3.912023005428146
Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180,30,21,0.3,1,154,0,0.037932472895926994,1,0.42191780821917807,0,3.4339872044851463,3.091042453358316,0.26236426446749106,0.6931471805599453,5.198497031265826
Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,2,42,0.38,1,263,0,0.051770591072542366,1,0.7205479452054795,0,1.0986122886681098,3.7612001156935624,0.32208349916911333,0.6931471805599453,4.394449154672439
Manhattan,Chelsea,40.74623,-73.9953,Entire home/apt,375,45,5,0.12,1,180,0,0.015315772915530648,1,0.4931506849315068,0,3.828641396489095,1.791759469228055,0.11332868530700317,0.6931471805599453,5.929589143389895
Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,2,66,0.57,2,231,0,0.035164166419806867,1,0.6328767123287671,1,1.0986122886681098,4.204692619390966,0.4510756193602167,1.0986122886681098,5.5254529391317835
Brooklyn,Prospect Heights,40.67811,-73.96428,Entire home/apt,200,30,143,1.33,2,297,0,0.08266015061685372,1,0.8136986301369863,1,3.4339872044851463,4.969813299576001,0.8458682675776092,1.0986122886681098,5.303304908059076
Brooklyn,Clinton Hill,40.69,-73.96788,Private room,55,7,27,0.23,2,292,0,0.0702457429315183,1,0.8,1,2.0794415416798357,3.332204510175204,0.20701416938432612,1.0986122886681098,4.02535169073515
Manhattan,Hell's Kitchen,40.75979,-73.99119,Private room,52,30,191,1.65,1,191,0,0.005964914081528242,1,0.5232876712328767,0,3.4339872044851463,5.2574953720277815,0.9745596399981308,0.6931471805599453,3.970291913552122
Brooklyn,Park Slope,40.67343,-73.98338,Entire home/apt,225,3,4,0.16,1,0,0,0.08459656789728477,1,0.0,0,1.3862943611198906,1.6094379124341003,0.14842000511827327,0.6931471805599453,5.420534999272286
Manhattan,East Village,40.72649,-73.97904,Private room,80,1,338,4.72,2,72,0,0.03216538045788248,1,0.19726027397260273,1,0.6931471805599453,5.82600010738045,1.7439688053917064,1.0986122886681098,4.394449154672439
Brooklyn,Williamsburg,40.70933,-73.96792,Entire home/apt,275,1,148,1.4,1,362,0,0.05174770816181101,1,0.9917808219178083,0,0.6931471805599453,5.003946305945459,0.8754687373538999,0.6931471805599453,5.62040086571715
Manhattan,East Village,40.72298,-73.98474,Private room,99,1,106,1.26,2,336,0,0.035028245745401025,1,0.9205479452054794,1,0.6931471805599453,4.672828834461906,0.8153648132841945,1.0986122886681098,4.605170185988092
Manhattan,East Harlem,40.80164,-73.93922,Entire home/apt,225,4,190,1.64,1,215,0,0.06361043939479824,1,0.589041095890411,0,1.6094379124341003,5.25227342804663,0.9707789171582247,0.6931471805599453,5.420534999272286
Manhattan,East Village,40.72162,-73.98008,Entire home/apt,230,9,49,0.43,1,116,0,0.036781527972612776,1,0.3178082191780822,0,2.302585092994046,3.912023005428146,0.3576744442718159,0.6931471805599453,5.442417710521793
Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,51,7,23,0.43,1,88,0,0.0062688834731586375,1,0.2410958904109589,0,2.0794415416798357,3.1780538303479458,0.3576744442718159,0.6931471805599453,3.9512437185814275
Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,2,49,1.6,2,336,0,0.08585333190971416,1,0.9205479452054794,1,1.0986122886681098,3.912023005428146,0.9555114450274363,1.0986122886681098,4.189654742026425
Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,2,105,0.92,1,304,0,0.07765120218001084,1,0.8328767123287671,0,1.0986122886681098,4.663439094112067,0.6523251860396903,0.6931471805599453,4.663439094112067
Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,5,21,0.2,1,224,0,0.02982580258769711,1,0.6136986301369863,0,1.791759469228055,3.091042453358316,0.18232155679395465,0.6931471805599453,5.25227342804663
Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,1,142,1.5,1,322,0,0.0365079292757058,1,0.8821917808219178,0,0.6931471805599453,4.962844630259907,0.9162907318741551,0.6931471805599453,5.303304908059076
Queens,Woodside,40.75038,-73.90334,Private room,70,30,25,0.22,1,324,0,0.08251260509764757,1,0.8876712328767123,0,3.4339872044851463,3.258096538021482,0.1988508587451652,0.6931471805599453,4.2626798770413155
Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,3,143,1.28,1,132,0,0.06605792079683476,1,0.36164383561643837,0,1.3862943611198906,4.969813299576001,0.8241754429663494,0.6931471805599453,4.564348191467836
Manhattan,Chelsea,40.74138,-74.00197,Private room,150,3,167,1.65,1,295,0,0.02339840379171295,1,0.8082191780821918,0,1.3862943611198906,5.123963979403259,0.9745596399981308,0.6931471805599453,5.017279836814924
Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,3,61,0.54,4,238,0,0.05246823801120719,1,0.6520547945205479,1,1.3862943611198906,4.127134385045092,0.43178241642553783,1.6094379124341003,4.983606621708336
Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,54,0.49,1,209,0,0.07891680492772082,1,0.5726027397260274,0,3.4657359027997265,4.007333185232471,0.3987761199573678,0.6931471805599453,4.709530201312334
Manhattan,Lower East Side,40.71851,-73.98892,Entire home/apt,285,5,70,0.62,1,328,0,0.03963781653925952,1,0.8986301369863013,0,1.791759469228055,4.2626798770413155,0.4824261492442927,0.6931471805599453,5.655991810819852
Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,130,6,16,0.15,1,38,0,0.10634788667388233,1,0.10410958904109589,0,1.9459101490553132,2.833213344056216,0.13976194237515868,0.6931471805599453,4.875197323201151
Manhattan,Lower East Side,40.7114,-73.98794,Private room,94,30,94,0.84,1,188,0,0.04666383610463717,1,0.5150684931506849,0,3.4339872044851463,4.553876891600541,0.6097655716208943,0.6931471805599453,4.553876891600541
Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,3,61,0.53,1,272,0,0.04856778047224273,1,0.7452054794520548,0,1.3862943611198906,4.127134385045092,0.4252677354043441,0.6931471805599453,4.663439094112067
Manhattan,East Village,40.72334,-73.9844,Private room,60,3,194,1.73,1,26,0,0.034677450886709954,1,0.07123287671232877,0,1.3862943611198906,5.272999558563747,1.0043016091968684,0.6931471805599453,4.110873864173311
Manhattan,East Village,40.72912,-73.98057,Private room,50,1,2,0.05,1,0,0,0.029297769539677734,1,0.0,0,0.6931471805599453,1.0986122886681098,0.04879016416943201,0.6931471805599453,3.9318256327243257
Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,3,174,1.54,4,288,0,0.05196629677012104,1,0.7890410958904109,1,1.3862943611198906,5.1647859739235145,0.9321640810304452,1.6094379124341003,4.454347296253507
Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,4,24,0.28,1,317,0,0.07453068093074762,1,0.8684931506849315,0,1.6094379124341003,3.2188758248682006,0.2468600779315258,0.6931471805599453,4.189654742026425
Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,4,166,3.4,1,207,0,0.07676002214695045,1,0.5671232876712329,0,1.6094379124341003,5.117993812416755,1.4816045409242156,0.6931471805599453,4.882801922586371
Brooklyn,Clinton Hill,40.68634,-73.966,Private room,98,7,16,0.2,6,185,0,0.07426577677504292,1,0.5068493150684932,1,2.0794415416798357,2.833213344056216,0.18232155679395465,1.9459101490553132,4.59511985013459
Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,7,21,0.3,1,158,0,0.07888077649212684,1,0.4328767123287671,0,2.0794415416798357,3.091042453358316,0.26236426446749106,0.6931471805599453,5.5254529391317835
Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,100,5,168,1.57,1,0,0,0.05558280399548171,1,0.0,0,1.791759469228055,5.1298987149230735,0.9439058989071285,0.6931471805599453,4.61512051684126
Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,3,118,1.05,2,9,0,0.0823804163621447,1,0.024657534246575342,1,1.3862943611198906,4.77912349311153,0.7178397931503169,1.0986122886681098,4.663439094112067
Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,3,81,0.71,1,198,0,0.04620002705626815,1,0.5424657534246575,0,1.3862943611198906,4.406719247264253,0.5364933705145685,0.6931471805599453,4.948759890378168
Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,1,0.11,1,365,0,0.07976639016527823,1,1.0,0,0.6931471805599453,0.6931471805599453,0.10436001532424277,0.6931471805599453,4.499809670330265
Manhattan,Chelsea,40.74008,-74.00271,Private room,98,30,30,0.27,2,364,0,0.024845734040270188,1,0.9972602739726028,1,3.4339872044851463,3.4339872044851463,0.23901690047049992,1.0986122886681098,4.59511985013459
Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,7,139,1.23,2,311,0,0.09639554865241647,1,0.852054794520548,1,2.0794415416798357,4.941642422609304,0.8020015854720274,1.0986122886681098,4.836281906951478
Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,0.87,3,219,0,0.07322046298678558,1,0.6,1,1.3862943611198906,2.4849066497880004,0.6259384308664953,1.3862943611198906,4.110873864173311
Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,2,233,2.09,3,342,0,0.07995542820847312,1,0.936986301369863,1,1.0986122886681098,5.455321115357702,1.128171090909654,1.3862943611198906,5.170483995038151
Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,0.6,1,312,0,0.09180004901959503,1,0.8547945205479452,0,1.0986122886681098,4.23410650459726,0.4700036292457355,0.6931471805599453,4.189654742026425
Manhattan,West Village,40.73096,-74.00319,Entire home/apt,500,4,46,0.55,2,243,0,0.03231250067698314,1,0.6657534246575343,1,1.6094379124341003,3.8501476017100584,0.4382549309311553,1.0986122886681098,6.2166061010848646
Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,3,335,3.02,1,152,0,0.06251891953640641,1,0.41643835616438357,0,1.3862943611198906,5.817111159963204,1.3912819026309298,0.6931471805599453,4.624972813284271
Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,30,88,0.79,1,9,0,0.08869969673003782,1,0.024657534246575342,0,3.4339872044851463,4.48863636973214,0.5822156198526637,0.6931471805599453,5.3981627015177525
Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,45,162,1.46,2,137,0,0.09657445728556016,1,0.37534246575342467,1,3.828641396489095,5.093750200806762,0.9001613499442714,1.0986122886681098,4.836281906951478
Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,0.4,1,222,0,0.057077768877207266,1,0.6082191780821918,0,3.4339872044851463,3.4011973816621555,0.33647223662121295,0.6931471805599453,4.394449154672439
Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,1.61,1,346,0,0.06577464633124012,1,0.947945205479452,0,1.0986122886681098,5.14166355650266,0.9593502213346021,0.6931471805599453,4.61512051684126
Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,30,19,0.2,1,208,0,0.07655597298709169,1,0.5698630136986301,0,3.4339872044851463,2.995732273553991,0.18232155679395465,0.6931471805599453,5.303304908059076
Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,2,334,3.0,2,279,0,0.00789689812520682,1,0.7643835616438356,1,1.0986122886681098,5.814130531825066,1.3862943611198906,1.0986122886681098,4.0943445622221
Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,2,19,0.2,6,250,0,0.07372305473866707,1,0.684931506849315,1,1.0986122886681098,2.995732273553991,0.18232155679395465,1.9459101490553132,4.836281906951478
Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,0.13,1,164,0,0.029418640349278068,1,0.44931506849315067,0,2.0794415416798357,2.5649493574615367,0.12221763272424921,0.6931471805599453,4.948759890378168
Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,120,30,467,4.22,2,192,0,0.08954320353885607,1,0.5260273972602739,1,3.4339872044851463,6.148468295917647,1.6524974018945473,1.0986122886681098,4.795790545596741
Manhattan,East Village,40.7254,-73.98157,Entire home/apt,350,2,7,0.06,4,298,0,0.03283603051527571,1,0.8164383561643835,1,1.0986122886681098,2.0794415416798357,0.058268908123975775,1.6094379124341003,5.860786223465865
Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,0.38,1,260,0,0.01600224046813876,1,0.7123287671232876,0,1.791759469228055,3.6635616461296463,0.32208349916911333,0.6931471805599453,5.298317366548036
Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,324,3.01,1,107,0,0.047681619100027724,1,0.29315068493150687,0,1.3862943611198906,5.783825182329737,1.3887912413184778,0.6931471805599453,5.786897381366708
Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,0.27,1,199,0,0.022194814709744687,1,0.5452054794520548,0,1.9459101490553132,3.332204510175204,0.23901690047049992,0.6931471805599453,5.4638318050256105
Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,115,1.05,4,299,0,0.03297309509282112,1,0.8191780821917808,1,0.6931471805599453,4.7535901911063645,0.7178397931503169,1.6094379124341003,5.420534999272286
Brooklyn,South Slope,40.66831,-73.98604,Private room,99,2,354,3.2,3,20,0,0.0896916255845595,1,0.0547945205479452,1,1.0986122886681098,5.872117789475416,1.4350845252893227,1.3862943611198906,4.605170185988092
Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,2.03,1,318,0,0.0784488859066814,1,0.8712328767123287,0,1.0986122886681098,5.278114659230517,1.1085626195212777,0.6931471805599453,5.14166355650266
Brooklyn,South Slope,40.66499,-73.97925,Entire home/apt,400,2,16,0.24,2,216,0,0.09321975434423774,1,0.5917808219178082,1,1.0986122886681098,2.833213344056216,0.2151113796169455,1.0986122886681098,5.993961427306569
Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,0.12,1,224,0,0.022710790386945456,1,0.6136986301369863,0,2.0794415416798357,2.6390573296152584,0.11332868530700317,0.6931471805599453,5.14166355650266
Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,4,25,0.23,1,0,0,0.03555074401471854,1,0.0,0,1.6094379124341003,3.258096538021482,0.20701416938432612,0.6931471805599453,4.61512051684126
